id,name,symbol,active,porcentaje_variacion
base.AED,AED,د.إ,True,35%
base.AFN,AFN,Afs,True,35%
base.ALL,ALL,L,True,35%
base.AMD,AMD,դր.,True,35%
base.ANG,ANG,ƒ,True,35%
base.AOA,AOA,Kz,True,35%
base.ARS,ARS,$,True,63%
base.AUD,AUD,$,True,44%
base.AWG,AWG,Afl.,True,35%
base.AZN,AZN,m,True,35%
base.BAM,BAM,KM,True,35%
base.BBD,BBD,Bds$,True,35%
base.BDT,BDT,৳,True,35%
base.BGN,BGN,лв,True,35%
base.BHD,BHD,BD,True,35%
base.BIF,BIF,FBu,True,35%
base.BMD,BMD,BD$,True,35%
base.BND,BND,$,True,35%
base.BOB,BOB,Bs.,True,35%
base.BRL,BRL,R$,True,35%
base.BSD,BSD,B$,True,51%
base.BTN,BTN,Nu.,True,35%
base.BWP,BWP,P,True,35%
base.BYR,BYR,BR,True,35%
base.BZD,BZD,BZ$,True,35%
base.CHE,CHE,CHE,True,36%
base.CHW,CHW,CHW,True,31%
base.CLF,CLF,CLF,True,35%
base.COU,COU,COU,True,35%
base.CUC,CUC,CUC,True,49%
base.CAD,CAD,$,True,35%
base.CDF,CDF,Fr,True,35%
base.CHF,CHF,CHF,True,45%
base.CLP,CLP,$,True,28%
base.CNY,CNY,¥,True,33%
base.COP,COP,$,True,35%
base.CRC,CRC,¢,True,31%
base.CUP,CUP,$,True,35%
base.CVE,CVE,$,True,36%
base.CYP,CYP,£,True,35%
base.CZK,CZK,Kč,True,42%
base.DJF,DJF,Fdj,True,35%
base.DKK,DKK,kr,True,40%
base.DOP,DOP,RD$,True,51%
base.DZD,DZD,DZ,True,30%
base.ECS,ECS,S/.,True,34%
base.EGP,EGP,E£,True,35%
base.ERN,ERN,Nfk,True,35%
base.ETB,ETB,Br,True,40%
base.EUR,EUR,€,True,35%
base.FJD,FJD,FJ$,True,35%
base.FKP,FKP,£,True,29%
base.GBP,GBP,£,True,35%
base.GEL,GEL,ლ,True,35%
base.GHS,GHS,GH¢,True,35%
base.GIP,GIP,£,True,35%
base.GMD,GMD,D,True,35%
base.GNF,GNF,FG,True,36%
base.GTQ,GTQ,Q,True,35%
base.GYD,GYD,$,True,35%
base.HKD,HKD,$,True,28%
base.HNL,HNL,L,True,35%
base.HRK,HRK,kn,True,35%
base.HTG,HTG,G,True,38%
base.HUF,HUF,Ft,True,35%
base.IDR,IDR,Rp,True,33%
base.ILS,ILS,₪,True,30%
base.INR,INR,₹,True,59%
base.IQD,IQD, ع.د,True,35%
base.IRR,IRR,﷼,True,35%
base.ISK,ISK,kr,True,28%
base.ITL,ITL,₤,True,35%
base.JMD,JMD,$,True,57%
base.JOD,JOD, د.ا ,True,30%
base.JPY,JPY,¥,True,35%
base.KES,KES,KSh,True,35%
base.KGS,KGS,лв,True,35%
base.KHR,KHR,៛,True,35%
base.KMF,KMF,CF,True,35%
base.KPW,KPW,₩,True,33%
base.KRW,KRW,₩,True,35%
base.KWD,KWD, د.ك ,True,35%
base.KYD,KYD,$,True,35%
base.KZT,KZT,лв,True,35%
base.LAK,LAK,₭,True,35%
base.LBP,LBP,ل.ل,True,35%
base.LKR,LKR,Rs,True,35%
base.LRD,LRD,L$,True,35%
base.LSL,LSL,L,True,36%
base.LTL,LTL,Lt,True,35%
base.LVL,LVL,Ls,True,35%
base.LYD,LYD, ل.د ,True,35%
base.MAD,MAD, د.م. ,True,35%
base.MDL,MDL,L,True,35%
base.MGA,MGA,Ar,True,35%
base.MKD,MKD,ден,True,35%
base.MMK,MMK,K,True,35%
base.MNT,MNT,₮,True,35%
base.MOP,MOP,MOP$,True,35%
base.MRO,MRO,UM,True,35%
base.MUR,MUR,Rs,True,35%
base.MXV,MXV,MXV,True,27%
base.MVR,MVR,.ރ,True,35%
base.MWK,MWK,MK,True,35%
base.MXN,MXN,$,True,31%
base.MYR,MYR,RM,True,35%
base.MZN,MZN,MT,True,34%
base.NAD,NAD,$,True,35%
base.NGN,NGN,₦,True,45%
base.NIO,NIO,C$,True,35%
base.NOK,NOK,kr,True,35%
base.NPR,NPR,₨,True,29%
base.NZD,NZD,$,True,35%
base.OMR,OMR,ر.ع.,True,30%
base.PAB,PAB,B/.,True,35%
base.PEN,PEN,S/,True,39%
base.PGK,PGK,K,True,37%
base.PHP,PHP,Php,True,35%
base.PKR,PKR,Rs.,True,36%
base.PLN,PLN,zł,True,35%
base.PLZ,PLZ,zł,True,35%
base.PYG,PYG,₲,True,35%
base.QAR,QAR,QR,True,35%
base.QTQ,QTQ,Q,True,35%
base.RON,RON,lei,True,35%
base.RSD,RSD,din.,True,35%
base.RUB,RUB,руб,True,38%
base.RUR,RUR,R,True,35%
base.RWF,RWF,RF,True,35%
base.SAR,SAR,SR,True,35%
base.SBD,SBD,SI$,True,35%
base.SCR,SCR,SR,True,35%
base.SDD,SDD,£Sd,True,35%
base.SEK,SEK,kr,True,35%
base.SGD,SGD,$,True,35%
base.SHP,SHP,£,True,35%
base.SKK,SKK,Sk,True,35%
base.SLL,SLL,Le,True,37%
base.SOD,SOD,Sh.,True,35%
base.SRG,SRG,$,True,35%
base.SSP,SSP,£,True,35%
base.STD,STD,Db,True,35%
base.SVC,SVC,¢,True,35%
base.SYP,SYP,£,True,29%
base.SZL,SZL,E,True,30%
base.SDG,SDG,SDG,True,35%
base.SOS,SOS,SOS,True,51%
base.THB,THB,฿,True,35%
base.TJS,TJS,TJS,True,35%
base.TMM,TMM,m,True,35%
base.TND,TND,DT,True,35%
base.TOP,TOP,T$,True,32%
base.TRY,TRY,₺,True,35%
base.TTD,TTD,$,True,153%
base.TWD,TWD,NT$,True,30%
base.TZS,TZS,x/y,True,35%
base.TMT,TMT,TMT,True,35%
base.UAG,UAG,₴,True,35%
base.UAH,UAH,₴,True,35%
base.UGX,UGX,USh,True,35%
base.USD,USD,$,True,35%
base.UYU,UYU,$,True,35%
base.UZS,UZS,лв,True,35%
base.VEF,VEF,Bs.F,True,35%
base.VND,VND,₫,True,35%
base.VUB,VUB,Bs,True,37%
base.VUV,VUV,VT,True,35%
